dining_place_name,opening_time,parsed_timing,opening_days,mon_start_time,mon_end_time,tue_start_time,tue_end_time,wed_start_time,wed_end_time,thu_start_time,thu_end_time,fri_start_time,fri_end_time,sat_start_time,sat_end_time,sun_start_time,sun_end_time,most_common_operating_time,duration_in_hrs,breakfast,lunch,dinner,supper,mon_duration_in_hrs,tue_duration_in_hrs,wed_duration_in_hrs,thu_duration_in_hrs,fri_duration_in_hrs,sat_duration_in_hrs,sun_duration_in_hrs
Cesario's,"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 10:30 pm","1130-2200,1130-2200,1130-2200,1130-2200,1130-2230,1130-2230,1130-2200",1111111,1130,2200,1130,2200,1130,2200,1130,2200,1130,2230,1130,2230,1130,2200,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,11.0,11.0,10.5
Colombini Italian Cafe Bistro,Mon-Fri 12 pm - 10 pm  / Sat-Sun 5 pm - 10 pm,"1200-2200,1200-2200,1200-2200,1200-2200,1200-2200,1700-2200,1700-2200",1111111,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1700,2200,1700,2200,1200-2200,10.0,False,True,True,True,10.0,10.0,10.0,10.0,10.0,5.0,5.0
Sabella & La Torre,"Mon-Thu, Sun 10 am - 10:30 pm  / Fri-Sat 10 am - 12:30 am","1000-2230,1000-2230,1000-2230,1000-2230,1000-1230,1000-1230,1000-2230",1111111,1000,2230,1000,2230,1000,2230,1000,2230,1000,1230,1000,1230,1000,2230,1000-2230,12.5,False,True,True,True,12.5,12.5,12.5,12.5,2.5,2.5,12.5
Soluna Cafe and Lounge,Mon-Fri 11:30 am - 10 pm  / Sat 5 pm - 10 pm,"1130-2200,1130-2200,1130-2200,1130-2200,1130-2200,1700-2200,",1111110,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1700,2200,,,1130-2200,10.5,False,True,True,True,10.5,10.5,10.5,10.5,10.5,5.0,0.0
Tong Palace,Mon-Fri 9 am - 9:30 pm  / Sat-Sun 9 am - 10 pm,"0900-2130,0900-2130,0900-2130,0900-2130,0900-2130,0900-2200,0900-2200",1111111,0900,2130,0900,2130,0900,2130,0900,2130,0900,2130,0900,2200,0900,2200,0900-2130,12.5,True,True,True,False,12.5,12.5,12.5,12.5,12.5,13.0,13.0
India Garden Restaurant,Mon-Sun 10 am - 11 pm,"1000-2300,1000-2300,1000-2300,1000-2300,1000-2300,1000-2300,1000-2300",1111111,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000-2300,13.0,False,True,True,True,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Sapporo-Ya Japanese Restaurant,Mon-Sat 11 am - 11 pm  / Sun 11 am - 10:30 pm,"1100-2300,1100-2300,1100-2300,1100-2300,1100-2300,1100-2300,1100-2230",1111111,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2230,1100-2300,12.0,False,True,True,True,12.0,12.0,12.0,12.0,12.0,12.0,11.5
Santorini's Mediterranean Cuisine, Mon-Sun 8 am - 10:30 pm,"0800-2230,0800-2230,0800-2230,0800-2230,0800-2230,0800-2230,0800-2230",1111111,0800,2230,0800,2230,0800,2230,0800,2230,0800,2230,0800,2230,0800,2230,0800-2230,14.5,True,True,True,True,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Kyoto Sushi,Mon-Thu 11 am - 10:30 pm  / Fri 11 am - 11 pm  / Sat 11:30 am - 11 pm  / Sun 4:30 pm - 10:30 pm,"1100-2230,1100-2230,1100-2230,1100-2230,1100-2300,1130-2300,1630-2230",1111111,1100,2230,1100,2230,1100,2230,1100,2230,1100,2300,1130,2300,1630,2230,1100-2230,11.5,False,True,True,True,11.5,11.5,11.5,11.5,12.0,11.5,6.0
Marrakech Moroccan Restaurant,Mon-Sun 5:30 pm - 2 am,"1730-0200,1730-0200,1730-0200,1730-0200,1730-0200,1730-0200,1730-0200",1111111,1730,0200,1730,0200,1730,0200,1730,0200,1730,0200,1730,0200,1730,0200,1730-0200,8.5,False,False,False,True,8.5,8.5,8.5,8.5,8.5,8.5,8.5
